distinct,"The European Union is made up of 15 nations with distinct cultural, linguistic and economic roots.",แตกต่างชัดเจน
distraction,The new workstation dividers help prevent unnecessary distractions and ensure that bank tellers stay focused.,สิ่งรบกวน
disturb,Please go on with what you’re doing and don’t let us disturb you.,รบกวน
donation,The library is accepting donationsof children’s books.,การบริจาค
dramatically,Interest rates climbed dramatically.,อย่างรวดเร็ว
drastically,Fines for breaking rules have been drastically increased.,อย่างฮวบฮาบ
drawback,The main drawback to these products is that they tend to be too salty.,"ข้อเสีย, ข้อด้อย"
eligible,The part-time workers are also eligible for paid holidays.,"มีสิทธิ, มีคุณสมบัติเหมาะสม"
employment,The company announced employment opportunities in personnel department.,การจ้างงาน
entitle,Executives are entitled to additional benefits.,"มอบตำแหน่งให้, ให้สิทธิ"
especially,"Art books are expensive to produce, especially if they contain colour illustrations.","โดยเฉพาะอย่างยิ่ง, เป็นพิเศษ"
estimate,Their estimate of the cost of the project was inaccurate.,"ค่าประมาณ, ประมาณ"
excel,Rick has always excelled at foreign languages.,ทำได้ดีเยี่ยม
exclude,At this stage we cannot entirely exclude the possibility of staff cuts.,"ไม่รวม, แยกออก"
fluctuate,The state’s income from sales taxes fluctuates with the economy.,ผันผวน
fluency,One of the requirements of the job is fluency in two or more African languages.,ความคล่องแคล่ว
fluently,There is one candidate who can speak 3 different languages fluently.,"อย่างคล่องแคล่ว, อย่างฉะฉาน"
formerly,This elegant hotel was formerly a castle.,"ก่อนหน้านี้, แต่ก่อน"
generally,The quality of the food here is generally good.,"โดยทั่วไป, โดยส่วนมาก"
greatly,This software is easy to learn and greatly increases employee productivity.,อย่างมาก
highly,Mr. Parker’s experience makes him highly qualified for the job.,"อย่างมาก, อย่างสูง"
identify,Staff members wear uniforms so that they are easy for customer to identify.,ระบุ
immediately,"Knowing the case was urgent, I replied to her lawyer’s email immediately.",ทันทีทันใด
inexperienced,Inexperienced managers often have problems with their staff.,ขาดประสบการณ์
inspection,The facility inspection should be conducted at least once a month.,การตรวจสอบ
insufficient,His salary was insufficient for him.,ไม่เพียงพอ
introductory,The introductory course on coaching is taught by Lee Wallis of the Peyton Soccer Club.,"ขั้นต้น, เบื้องต้น"
lengthy,Many airline passengers face lengthy delays because of the strike.,ยืดยาว
necessity,He emphasized the necessity for good planning and management.,ความจำเป็น
observe,Security guards are able to observe the car park using CCTV.,สังเกต
official,The official opening of the institute was in May.,เป็นทางการ
opening,There are several job openings at the restaurant right now.,ตำแหน่งงานว่าง
overseas,The company has been successful in penetrating overseas markets this year.,ต่างประเทศ
oversee,Mr. Fritz will oversee the office relocation process.,"ตรวจสอบ, ดูแล"
partially,The advertising campaign was only partially successful.,บางส่วน
participation,Full participation by all members is compulsory.,"การเข้าร่วม, การมีส่วนร่วม"
permit,Smoking is only permitted in the public lounge.,อนุญาต
persuade,Clever salesmanship can persuade you to buy things you don’t really want.,"ชักชวน, ชักจูง"
pertaining to,Regulations pertaining to high-tech industries are being discussed.,เกี่ยวข้องกับ
plentiful,Opportunities for teaching abroad are plentiful.,"มากมาย, อุดมสมบูรณ์"
potential,Potential earnings from the trade deal could reach billions of dollars.,"เป็นไปได้, มีศักยภาพ"
precisely,We arrived at the hotel at precisely10:30.,"อย่างแม่นยำ, เที่ยงตรง"
preliminary,Jackson is peforming well in the preliminary stages of the competition.,"ในขั้นต้น, ในเบื้องต้น"
primarily,The advertisement is aimed primarily at children.,"แรกเริ่ม, เป็นหลัก"
productive,Team work at its best results in a synergy that can be very productive.,"มีประสิทธิภาพ, ที่เกิดผล"
profession,Some students enter other professions such as arts administration.,อาชีพ
proficiency,Overseas workers need proof of proficiency in a second language.,ความเชี่ยวชำนาญ
prominent,The shop front occupies a very prominent position on the main street.,"โดดเด่น, มีชื่อเสียง"
prospective,Prospective employees were asked to come in for a second interview.,ที่คาดหวังไว้
qualified,People with master’s degrees are qualified for the research position.,มีคุณสมบัติเหมาะสม
regulation,Regulations regarding lunch breaks were established.,"กฎเกณฑ์, ข้อบังคับ"
reimbursement,This form is used to request reimbursements to students for travel and entertainment expense incurred for College business.,การชำระเงินคืน
reluctant,Stores have cut prices to attract reluctant shoppers.,"ไม่เต็มใจ, ลังเล, อิดออด"
remarkable,"Among her many remarkable achievements, Dr. Smith wrote sixteen books and served as editor for three major journals.","ไม่ธรรมดา, โดดเด่น"
renewable,The report describes the environmental impact on lakes and rivers of using renewable energy sources.,"เกิดขึ้นใหม่ได้, ทดแทน"
renovate,We decided to buy an old house and renovate it ourselves.,"ปรับปรุง, ซ่อมแซม"
requirement,A driver’s license is a requirement of this position.,สิ่งจำเป็น
respectively,"In terms of population, California and New York rank first and second respectively.",ตามลำดับ
significantly,Methods used by younger teachers differ significantly from those used by older ones.,"อย่างสำคัญ, อย่างมาก"
specialize,Most of the programmers specialized in software design in college.,เชี่ยวชาญเป็นพิเศษ
specific,Could you be more specific about what you’re looking for?,เฉพาะเจาะจง
substantia,The first draft of his novel needed a substantial amount of rewriting.,"มาก, สำคัญ"
substitute,Corn syrup is used as a substitute forsugar in many food products.,"ตัวแทน, สิ่งแทน"
sufficient,If I buy two pounds of fish that should be sufficient for four people.,เพียงพอ
talented,The Brazilian team includes some highly talented young players.,"มีความสามารถ, มีพรสวรรค์"
tentatively,"The switch to the specialized database is tentatively scheduled for June 15, but it may need to be postponed.",อย่างคร่าวๆ
terminate,The train from Paris terminates at St Pancras International.,"สิ้นสุด, ยุติ"
thoroughly,Eating only thoroughly cooked foods will reduce your risk of illness.,"อย่างถี่ถ้วน, รอบคอบ"
throughout,The software was designed to update the data continuously throughout the day.,ตลอดทั้ง
undertake,She had to undertake the task on short notice.,"รับผิดชอบ, รับภาระ"
upcoming,A reporter spoke to a candidate for the upcoming election.,กำลังมาถึง
valid,The tourist visa is valid for three months.,"มีเหตุผล, ถูกต้อง, ใช้ได้"
versatile,The potato is an extremely versatile vegetable.,"อเนกประสงค์, มีประโยชน์หลายอย่าง"
workforce,Women now represent almost 50% of the workforce.,"แรงงาน, คนทำงาน"
